Price,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT
Date,,,,,
2018-01-02,100.57249450683594,101.38996502907143,100.23589187508685,101.37393283832763,16238200
2018-01-03,101.05335235595703,101.14151105815445,100.57249059864587,100.9812258438804,8605100
2018-01-04,101.0373306274414,101.10946325711052,100.47632623885609,100.70072799429022,9217900
2018-01-05,100.74884033203125,101.12551743238394,100.46833805979763,100.87707343619002,10915400
2018-01-08,100.6846694946289,101.0052459676923,100.31600869067668,100.97318770893719,8850600
2018-01-09,99.3382797241211,100.04354937607538,99.22607884576279,100.02751718517317,16226400
2018-01-10,99.21807098388672,99.3222557690191,98.30443174660465,98.42464260849222,14302600
2018-01-11,99.62682342529297,99.85122523924328,98.82538488147566,98.98567625893362,12511000
2018-01-12,99.79509735107422,100.01148912253147,99.30622559907302,99.45849472268422,9987100
2018-01-16,100.21186065673828,100.40420416526268,99.82716752519958,100.31604545000361,9125900
2018-01-17,100.07561492919922,100.69271980509703,99.85922313769044,100.24391625898953,8327000
2018-01-18,99.14596557617188,99.59476922242496,99.0097224856295,99.32228304134019,10843900
2018-01-19,98.62495422363281,99.02567320697537,98.5608438333077,98.8974463118387,11374300
2018-01-22,98.72117614746094,99.145937494427,98.56890090440166,98.93756181147577,8984700
2018-01-23,99.14596557617188,99.53866876664333,98.76928846685615,99.22610821093262,12325700
2018-01-24,98.60896301269531,98.68108952024002,98.20824388769955,98.45668778856057,9038900
2018-01-25,99.41846466064453,99.49860730087791,98.41666637149855,98.70518476793191,12173300
2018-01-26,99.0497817993164,99.30624799057182,98.65707864431498,99.28219969927372,6462900
2018-01-29,98.36054992675781,98.55289345495738,98.01593112671787,98.55289345495738,12223000
2018-01-30,97.78352355957031,98.07204193960006,97.53507344013342,97.99990928734704,12064400
2018-01-31,98.36054992675781,98.5208351811757,97.72741277717326,98.47275082774844,18045100
2018-02-01,96.93498229980469,98.4046691232266,96.87876507237853,98.3645174620469,18632800
2018-02-02,96.03553771972656,96.5816507315778,95.76247815019082,96.49330847030626,23944400
2018-02-05,96.94305419921875,97.83450354183016,95.28062280057976,95.70626856958471,28606200
2018-02-06,96.34070587158203,97.07153611351632,96.1479619254359,96.71013432137029,10935400
2018-02-07,95.4251708984375,96.63786415106233,95.21636136849747,96.47723907910077,16271100
2018-02-08,95.32076263427734,95.71428331085444,94.64614963292563,94.7746496816477,15155100
2018-02-09,94.71844482421875,95.64201300445903,94.5979775445986,94.85497154841875,15661600
2018-02-12,95.13603210449219,95.8106450119476,94.9191959614786,95.21634156015578,10944600
2018-02-13,95.56170654296875,95.57777211527599,95.07984353650133,95.25652806855751,8157600
2018-02-14,94.50159454345703,95.20029980468382,94.34097560229264,95.13604977733013,12043300
2018-02-15,94.82283020019531,95.4091009255193,94.7585801785013,94.91920523273632,8222400
2018-02-16,95.3368148803711,95.73836831148742,95.03966313554614,95.60184161544045,8454100
2018-02-20,94.9192123413086,95.17620632011177,94.58993555088153,94.99148902571272,8268800
2018-02-21,93.75466918945312,94.9994869555951,93.56995809004421,94.95932917195793,12054300
2018-02-22,94.03577423095703,94.49355099862852,93.96349755851548,94.15624147891171,9317900
2018-02-23,94.87100219726562,95.0155616634883,94.5417316019475,94.67022550124626,9072900
2018-02-26,94.90316009521484,95.49746373300184,94.79875838290013,95.31274641266899,8771600
2018-02-27,94.76664733886719,95.2967010192865,94.1723497406692,95.1842603769254,12525700
2018-02-28,95.36895751953125,95.43320755091938,94.96740401418586,95.14408853689307,9311600
2018-03-01,96.01997375488281,96.26139418087884,95.07844514473597,95.3037676012248,12287700
2018-03-02,95.2394027709961,95.70614572585816,95.05431906999807,95.64176611699911,10064300
2018-03-05,94.98187255859375,95.60151543271778,94.65998071459471,95.56127664987679,5658200
2018-03-06,95.07038116455078,95.50493417905578,95.05428933715822,95.24742196374639,5452000
2018-03-07,94.96578216552734,95.50494748212408,94.92554338207776,95.4164270701961,4461800
2018-03-08,95.51297760009766,95.75439183437962,95.16694500534255,95.20717764126864,7086700
2018-03-09,94.88529205322266,95.17498790662202,94.6277737131785,94.94966549865855,6570400
2018-03-12,95.43253326416016,95.48887002529982,95.11064750641931,95.20721077791065,5801300
2018-03-13,95.91539001464844,96.06024108537626,95.11066320828898,95.20722649572201,7455300
2018-03-14,96.76030731201172,96.88906649191699,96.06019922489757,96.0843400362359,10175000
2018-03-15,96.76030731201172,96.96148892593199,96.51084407541478,96.70397670569706,6757900
2018-03-16,96.414306640625,96.57525566884249,96.20508211330875,96.40626379389737,6084300
2018-03-19,96.1085205078125,96.54307370995251,95.9234306452132,95.9314796321727,8491200
2018-03-20,95.72223663330078,95.93951627620613,95.62567336052271,95.69005296875967,5446000
2018-03-21,95.82684326171875,96.10044735375452,95.04625749155836,95.48885956935341,9742400
2018-03-22,96.77642059326172,97.22706551508932,96.30162871669914,96.81665323866685,12136600
2018-03-23,96.70404815673828,96.81670945260885,96.26145196284112,96.30973362119131,7250400
2018-03-26,96.33381652832031,96.9293124683831,96.3016267289147,96.5671879693287,8237900
2018-03-27,97.3638687133789,97.46848709973929,96.41429108858844,96.43038905860234,9168500
2018-03-28,97.62139892578125,97.88696022364599,97.33169680803387,97.73406017828547,7412500
2018-03-29,98.09617614746094,98.41001903790777,97.7823332570141,97.80647407326741,9694300
2018-04-02,98.28974151611328,98.6768387178122,97.70910494261685,97.86232566285697,12036500
2018-04-03,97.53166198730469,97.96714392630633,97.44295236161733,97.87036811118381,9855000
2018-04-04,97.33006286621094,97.95102417336486,97.25747945733806,97.86231453624278,6654300
2018-04-05,96.60426330566406,96.99135432573573,96.58813092408559,96.85425984582288,7603700
2018-04-06,97.66068267822266,97.70100746957024,96.95101188048002,97.305850355701,8831200
2018-04-09,97.82196044921875,97.82196044921875,97.0558326018806,97.28970281931866,6307500
2018-04-10,97.64459991455078,97.88653031222069,97.40266336417882,97.74136961253792,6046000
2018-04-11,97.9913330078125,98.29778051622408,97.79778138415294,98.26552191228082,5901300
2018-04-12,97.2735824584961,97.63648093515152,97.10422942587698,97.61228852373434,6622800
2018-04-13,97.49940490722656,97.68488419823768,97.17682500447258,97.19295123089532,4964000
2018-04-16,97.53166198730469,97.55585440291037,96.91876079692831,96.95908559140432,4491300
2018-04-17,97.79777526855469,98.04777789530661,97.43487676411047,97.51552019257593,5590400
2018-04-18,97.0155029296875,97.85420175876621,96.99937055641811,97.81388313098805,8138400
2018-04-19,96.2252197265625,96.39457279476096,95.81393018796622,96.3058631657951,9875800
2018-04-20,95.53164672851562,96.07196437902306,95.50745431919412,95.87841895175288,7579400
2018-04-23,95.55585479736328,95.66069679186869,95.22521489462113,95.42682654227097,7073200
2018-04-24,95.12039184570312,95.52361522131476,94.967171146807,95.3300697237773,8190800
2018-04-25,94.48332214355469,94.87847940341369,94.30590284039712,94.6849338693789,6603800
2018-04-26,95.14458465576172,95.26554673896094,94.83006478134358,94.94297298016295,6528600
2018-04-27,95.8784408569336,95.92682568663098,95.51554232880393,95.53973474365263,5401800
2018-04-30,96.04779052734375,96.41875523157756,95.91876226846648,96.03166430224637,8321100
2018-05-01,95.701904296875,96.04943505131533,95.55642358201499,95.99285956032898,7979200
2018-05-02,95.59681701660156,96.07367279848968,95.58065523567583,95.88777840338564,4644000
2018-05-03,96.02519226074219,96.42930468492344,95.9201252503109,96.04943801959047,6345300
2018-05-04,96.17064666748047,96.36462501772601,95.76653435386574,96.36462501772601,4283500
2018-05-07,96.01707458496094,96.1948787981114,95.96857692113474,96.15447127223052,3647800
2018-05-08,95.92818450927734,96.17873217451046,95.61297739293096,95.81503355296145,6091200
2018-05-09,95.35435485839844,95.70996954094332,95.35435485839844,95.46750582551707,7832500
2018-05-10,96.12216186523438,96.16257556591954,95.65339006885236,95.81503870532805,7101500
